stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"FR_NAOLIB:StopPlace:890",,"Carrière Misery",,,47.199619,-1.580657,"",,1,,,0,,
"FR_NAOLIB:StopPlace:895",,"Bougainville",,,47.198765,-1.584258,"",,1,,,2,,
"FR_NAOLIB:StopPlace:653",,"Mairie de Bouguenais",,,47.178978,-1.618985,"",,1,,,2,,
"FR_NAOLIB:StopPlace:411",,"Usine à gaz",,,47.195076,-1.619001,"",,1,,,0,,
"FR_NAOLIB:StopPlace:896",,"Fardière",,"",47.198463,-1.605963,"",,1,,,0,,
"FR_NAOLIB:StopPlace:654",,"Sorin",,,47.195255,-1.567883,"",,1,,,2,,
"FR_NAOLIB:StopPlace:412",,"Port launay",,,47.209660,-1.746525,"",,1,,,1,,
"FR_NAOLIB:StopPlace:413",,"Bernanos",,,47.206326,-1.613590,"",,1,,,1,,
"FR_NAOLIB:StopPlace:897",,"Salorges",,,47.205032,-1.574683,"",,1,,,2,,
"FR_NAOLIB:StopPlace:655",,"Paix",,,47.182713,-1.592356,"",,1,,,0,,
"FR_NAOLIB:StopPlace:656",,"Caboteurs",,,47.186447,-1.587341,"",,1,,,2,,
"FR_NAOLIB:StopPlace:414",,"Pablée",,,47.215847,-1.740232,"",,1,,,1,,
"FR_NAOLIB:StopPlace:898",,"Quai Brunais",,,47.196308,-1.669144,"",,1,,,2,,
"FR_NAOLIB:StopPlace:891",,"Bois Hardy",,,47.198204,-1.600277,"",,1,,,1,,
"FR_NAOLIB:StopPlace:650",,"Bougon",,,47.174263,-1.610700,"",,1,,,2,,
"FR_NAOLIB:StopPlace:892",,"Tougas",,,47.194149,-1.639495,"",,1,,,2,,
"FR_NAOLIB:StopPlace:651",,"Piano'cktail",,,47.174812,-1.606501,"",,1,,,1,,
"FR_NAOLIB:StopPlace:893",,"Savonnières",,,47.197338,-1.661375,"",,1,,,0,,
"FR_NAOLIB:StopPlace:652",,"Bouvre",,,47.176861,-1.613312,"",,1,,,2,,
"FR_NAOLIB:StopPlace:410",,"Koenig",,,47.198086,-1.615518,"",,1,,,2,,
"FR_NAOLIB:StopPlace:894",,"Bourgonnière",,,47.208382,-1.655422,"",,1,,,0,,
"FR_NAOLIB:StopPlace:408",,"Minoterie",,,47.216873,-1.721598,"",,1,,,1,,
"FR_NAOLIB:StopPlace:409",,"Purfina",,,47.195084,-1.635449,"",,1,,,2,,
"FR_NAOLIB:StopPlace:646",,"Allende",,,47.174908,-1.624002,"",,1,,,0,,
"FR_NAOLIB:StopPlace:404",,"Fleurs",,,47.215851,-1.717842,"",,1,,,1,,
